isTs	is1stLast	prevCol	del.t	condName
FALSE	e	NA	NA	GSM5603892
FALSE	e	NA	NA	GSM5603893
FALSE	e	NA	NA	GSM5603894
FALSE	e	NA	NA	GSM5603895
FALSE	e	NA	NA	GSM5603896
FALSE	e	NA	NA	GSM5603897
FALSE	e	NA	NA	GSM5603898
FALSE	e	NA	NA	GSM5603899
FALSE	e	NA	NA	GSM5603900
FALSE	e	NA	NA	GSM5603901
FALSE	e	NA	NA	GSM5603902
FALSE	e	NA	NA	GSM5603903
FALSE	e	NA	NA	GSM5603904
FALSE	e	NA	NA	GSM5603905
FALSE	e	NA	NA	GSM5603906
FALSE	e	NA	NA	GSM5603907
FALSE	e	NA	NA	GSM5603908
FALSE	e	NA	NA	GSM5603909
FALSE	e	NA	NA	GSM5603910
FALSE	e	NA	NA	GSM5603911
FALSE	e	NA	NA	GSM5603912
FALSE	e	NA	NA	GSM5603913
FALSE	e	NA	NA	GSM5603914
FALSE	e	NA	NA	GSM5603915
FALSE	e	NA	NA	GSM5603916
FALSE	e	NA	NA	GSM5603917
FALSE	e	NA	NA	GSM5603918
FALSE	e	NA	NA	GSM5603919
FALSE	e	NA	NA	GSM5603920
FALSE	e	NA	NA	GSM5603921
FALSE	e	NA	NA	GSM5603922
FALSE	e	NA	NA	GSM5603923
FALSE	e	NA	NA	GSM5603924
FALSE	e	NA	NA	GSM5603925
FALSE	e	NA	NA	GSM5603926
FALSE	e	NA	NA	GSM5603927
FALSE	e	NA	NA	GSM5603928
FALSE	e	NA	NA	GSM5603929
FALSE	e	NA	NA	GSM5603930
FALSE	e	NA	NA	GSM5603931
FALSE	e	NA	NA	GSM5603932
FALSE	e	NA	NA	GSM5603933
FALSE	e	NA	NA	GSM5603934
FALSE	e	NA	NA	GSM5603935
FALSE	e	NA	NA	GSM5603936
FALSE	e	NA	NA	GSM5603937
FALSE	e	NA	NA	GSM5603938
FALSE	e	NA	NA	GSM5603939
FALSE	e	NA	NA	GSM5603940
FALSE	e	NA	NA	GSM5603941
FALSE	e	NA	NA	GSM5603942
FALSE	e	NA	NA	GSM5603943
FALSE	e	NA	NA	GSM5603944
FALSE	e	NA	NA	GSM5603945
FALSE	e	NA	NA	GSM5603946
FALSE	e	NA	NA	GSM5603947
FALSE	e	NA	NA	GSM5603948
FALSE	e	NA	NA	GSM5603949
FALSE	e	NA	NA	GSM5603950
FALSE	e	NA	NA	GSM5603951
FALSE	e	NA	NA	GSM5603952
FALSE	e	NA	NA	GSM5603953
FALSE	e	NA	NA	GSM5603954
FALSE	e	NA	NA	GSM5603955
FALSE	e	NA	NA	GSM5603956
FALSE	e	NA	NA	GSM5603957
FALSE	e	NA	NA	GSM5603958
